tag_ou_atributo,nome_campo,tipo,multiplicidade
<EnvoHstCrd>,EnvioHistoricoCredito,Tag,[1..1]
CnpjIf,Cnpj da Fonte,Atributo,[1..1]
CnpjGbd,Cnpj do GBD,Atributo,[1..1]
NrRms,NumeroRemessa,Atributo,[1..1]
SeqlRms,SequencialRemessa,Atributo,[1..1]
DtRms,DataRemessa,Atributo,[1..1]
DtRefBaseItno,DataReferenciaBaseInterna,Atributo,[1..1]
FmtRms,FormatoRemessa,Atributo,[1..1]
CdOcr,Código de Ocorrência,Atributo,[0..1]
<Cli>,Cliente,Tag,[0..n]
TipCli,Tipo,Atributo,[1..1]
IdfcCli,Identificacao,Atributo,[1..1]
NmCli,Nome,Atributo,[1..1]
NtzRlc,NaturezaRelacao,Atributo,[0..1]
CmdoCli,ComandoCliente,Atributo,[0..1]
<Opr>,Operacao,Tag,[0..n]
NrUnco,NumeroUnico,Atributo,[0..1]
PrfAg,PrefixoAgencia,Atributo,[0..1]
NrCtr,NumeroContrato,Atributo,[0..1]
DtCtrc,DataContratacao,Atributo,[0..1]
CdMdld,Modalidade,Atributo,[0..1]
DtAprc,DataApuracao,Atributo,[0..1]
CnpjCtrc,CnpjContratacao,Atributo,[0..1]
CmdoOpr,Comando,Atributo,[0..1]
IdfcCliCtrt,IdentificacaoCliente,Atributo,[0..1]
TipRst,TipoRestricao,Atributo,[0..1]
<DetOpr>,DetalheOperacao,Tag,[0..1]
InPreFix,IndicadorPreFixado,Atributo,[0..1]
DtVnctUltPcl,DataVencimentoUltimaParcela,Atributo,[0..1]
VlCtrdFut,ValorContratadoFuturo,Atributo,[0..1]
QtPcl,QuantidadeParcelas,Atributo,[0..1]
NrPlstCrt,NúmeroPlásticoCartão,Atributo,[0..1]
SdoDvdr,SaldoDevedor,Atributo,[0..1]
DtVnctOpr,DataVencimento,Atributo,[0..1]
NrGr,Grupo,Atributo,[0..1]
CdCt,Cota,Atributo,[0..1]
SeqCt,Sequencia,Atributo,[0..1]
SitCt,SituacaoCota,Atributo,[0..1]
VlObgc,ValorContratadoObrigacao,Atributo,[0..1]
DtVnctUltPclCsr,DataVencimentoUltimaParcela,Atributo,[0..1]
QtPclCtCsr,QuantidadeParcelasCota,Atributo,[0..1]
SdoDvdrCtCsr,SaldoDevedor,Atributo,[0..1]
DtContCtCsr,DataContemplacaoCota,Atributo,[0..1]
</DetOpr>,FIM DetalheOperacao,Tag,[0..1]
<PclAnt>,ParcelaAnterior,Tag,[0..n]
DtVnctPclAnt,DataVencimento,Atributo,[0..1]
PercPclAnt,PeriodicidadeParcelaAnterior,Atributo,[0..1]
VlPclAnt,Valor,Atributo,[0..1]
CmdoPclAnt,ComandoParcelaAnterior,Atributo,[0..1]
<PgtoPclAnt>,PagamentoParcelaAnterior,Tag,[0..n]
DtPgtoPclAnt,DataPagamento,Atributo,[0..1]
VlPgtoPclAnt,ValorPagamento,Atributo,[0..1]
</PgtoPclAnt>,PagamentoParcelaAnterior,Tag,[0..n]
</PclAnt>,FIM ParcelaAnterior,Tag,[0..n]
<PgtoAvls>,PagamentoAvulso,Tag,[0..n]
DtPgtoAvls,DataPagamento,Atributo,[0..1]
VlPgtoAvls,ValorPagamento,Atributo,[0..1]
TipPgtoAvls,TipoPagamento,Atributo,[0..1]
CmdoPgtoAvls,ComandoPagamentoAvulso,Atributo,[0..1]
</PgtoAvls>,FIM PagamentoAvulso,Tag,[0..n]
<PclFut>,ParcelasFuturas,Tag,[0..n]
DtVnctPrxPcl,DataVencimentoProximaParcela,Atributo,[0..1]
PercPclFut,PeriodicidadeParcelasFuturas,Atributo,[0..1]
VlPrxPcl,ValorProximaParcela,Atributo,[0..1]
QtPclVncr,QuantidadeParcelasAVencer,Atributo,[0..1]
QtPclPgr,QuantidadeParcelasAPagar,Atributo,[0..1]
</PclFut>,FIM ParcelasFuturas,Tag,[0..n]
<FatFchdAnt>,FaturaFechadaAnterior,Tag,[0..n]
DtVnctFatFchdAnt,DataVencimento,Atributo,[0..1]
VlTtlPgrFatFchdAnt,ValorTotalAPagar,Atributo,[0..1]
VlMinPgrFatFchdAnt,ValorMinimoAPagar,Atributo,[0..1]
CmdoFatFchdAnt,ComandoFaturaFechadaAnterior,Atributo,[0..1]
<PgtoFatFchdAnt>,PagamentoFaturaFechadaAnterior,Tag,[0..n]
DtPgtoFatFchdAnt,DataPagamento,Atributo,[0..1]
VlPgtoFatFchdAnt,ValorPagamento,Atributo,[0..1]
</PgtoFatFchdAnt>,PagamentoFaturaFechadaAnterior,Tag,[0..n]
</FatFchdAnt>,FIM FaturaFechadaAnterior,Tag,[0..n]
<FatFchdFut>,FaturaFechadaFutura,Tag,[0..n]
DtVnctFatFchdFut,DataVencimento,Atributo,[0..1]
VlTtlPgrFatFchdFut,ValorTotalAPagar,Atributo,[0..1]
VlMinPgrFatFchdFut,ValorMinimoAPagar,Atributo,[0..1]
CmdoFatFchFut,ComandoFaturaFechadaFutura,Atributo,[0..1]
</FatFchdFut>,FIM FaturaFechadaFutura,Tag,[0..n]
<FchtAnt>,FechamentoAnterior,Tag,[0..n]
DtFchtAnt,Data,Atributo,[0..1]
SdoUtlzFchtAnt,SaldoUtilizado,Atributo,[0..1]
CmdoFchtAnt,ComandoFechamentoAnterior,Atributo,[0..1]
</FchtAnt>,FIM FechamentoAnterior,Tag,[0..n]
<FchtAtu>,FechamentoAtual,Tag,[0..n]
DtFchtAtu,Data,Atributo,[0..1]
SdoUtlzFchtAtu,SaldoUtilizado,Atributo,[0..1]
CmdoFchtAtu,ComandoFechamentoAtual,Atributo,[0..1]
</FchtAtu>,FIM FechamentoAtual,Tag,[0..n]
<PclAntCsr>,ParcelaAnterior,Tag,[0..n]
DtVnctPclAntCsr,DataVencimento,Atributo,[0..1]
PercPclAntCsr,PeriodicidadeParcelaAnterior,Atributo,[0..1]
VlPclAntCsr,Valor,Atributo,[0..1]
CmdoPclAntCsr,ComandoParcelaAnteriorConsorcio,Atributo,[0..1]
<PgtoPclAntCsr>,PagamentoParcelaAnterior,Tag,[0..n]
DtPgtoPclAntCsr,DataPagamento,Atributo,[0..1]
VlPgtoPclAntCsr,ValorPagamento,Atributo,[0..1]
</PgtoPclAntCsr>,PagamentoParcelaAnterior,Tag,[0..n]
</PclAntCsr>,FIM ParcelaAnterior,Tag,[0..n]
<PgtoAvlsCsr>,PagamentoAvulso,Tag,[0..n]
DtPgtoAvlsCsr,DataPagamento,Atributo,[0..1]
VlPgtoAvlsCsr,ValorPagamento,Atributo,[0..1]
TipPgtoAvlsCsr,TipoPagamento,Atributo,[0..1]
CmdoPgtoAvlsCsr,ComandoPagamentoAvulsoConsorcio,Atributo,[0..1]
</PgtoAvlsCsr>,FIM PagamentoAvulso,Tag,[0..n]
<PclFutCsr>,ParcelasFuturas,Tag,[0..n]
DtVnctPrxPclCsr,DataVencimentoProximaParcela,Atributo,[0..1]
PercPclFutCsr,PeriodicidadeParcelasFuturasConsorcio,Atributo,[0..1]
VlPrxPclCsr,ValorProximaParcela,Atributo,[0..1]
QtPclVncrCsr,QuantidadeParcelasAVencer,Atributo,[0..1]
QtPclPgrCtCsr,QuantidadeParcelasAPagarCota,Atributo,[0..1]
</PclFutCsr>,FIM ParcelasFuturas,Tag,[0..n]
</Opr>,FIM Operacao,Tag,[0..n]
</Cli>,FIM Cliente,Tag,[0..n]
</EnvoHstCrd,FIM EnvioHistoricoCredito,Tag,[1..1]
